trial_id,seed,tc,sigma_px,dropout_prob,camera_mode,dv_perfect_mag,dv_ekf_mag,dv_delta_mag,dv_mag_bias,dv_inflation_pct,miss_uncorrected,miss_perfect,miss_ekf,pos_err_tc,tracePpos_tc,nis_mean,nees_mean,valid_rate,dx0_norm_r,dx0_norm_v,notes,truth_mode
737,267539642,2.0,1.0,0.0,estimate_tracking,0.0011584630394989503,0.001115591310660854,0.00010085099043520648,-4.287172883809631e-05,-0.037007420501424804,0.0005105829359555597,6.522435351468653e-11,0.00014434208951934113,2.5322048898171468e-05,2.9438156907544283e-09,1.8359153948332676,3.681359666877633,0.9900990099009901,0.00011691611044475254,0.00021640822773096513,,cr3bp
738,1922132818,2.0,1.0,0.0,estimate_tracking,0.0017429676420464546,0.0019225687371861135,0.000794320247542634,0.0001796010951396589,0.10304327562202209,0.001618097517201629,6.659980364698683e-11,0.0001504755756012179,8.396123145993377e-05,2.487292409882924e-09,1.9492693130715193,7.168716584549716,0.9900990099009901,0.00010739049375662936,0.00017605911103211322,,cr3bp
739,831557544,2.0,1.0,0.0,estimate_tracking,0.00216101203075485,0.0022522923621421304,0.0004320066533392958,9.128033138728047e-05,0.042239622032736124,0.002356354167839782,5.160241438113027e-11,0.0001552658945448678,2.1921404454024436e-05,2.3339131235945937e-09,1.9057011289609673,3.709906910207439,0.9900990099009901,0.00013649021411774764,0.0002144916315842174,,cr3bp
740,102003655,2.0,1.0,0.0,estimate_tracking,0.0023108997633213006,0.002259450061054853,0.0004966648220650546,-5.144970226644754e-05,-0.022263926407825818,0.001226517930472121,5.4112355054634546e-11,8.975388116812322e-05,3.7401950419029566e-05,2.7170176890030592e-09,1.8710293240415659,5.10241586325928,0.9900990099009901,0.00015202959872559471,0.0004337212923114615,,cr3bp
741,605474625,2.0,1.0,0.0,estimate_tracking,0.0008864537677464176,0.0010655855513576815,0.00038111810508945776,0.0001791317836112639,0.20207684836927342,0.0012381601493152777,3.24868953906381e-11,0.00029353423328876946,8.001480135156224e-05,3.2459171261903214e-09,2.113665950763631,14.086122721342287,0.9900990099009901,5.970453921049431e-05,0.00023145621225644427,,cr3bp
742,611552253,2.0,1.0,0.0,estimate_tracking,0.0037291049500158473,0.0037053203350946337,0.00024750242753796746,-2.378461492121356e-05,-0.006378102853102141,0.003705513704112046,1.0390672440030238e-10,8.732801279607061e-05,1.6929168542486665e-05,3.5469383959527637e-09,1.943566128096067,3.5849005559797784,0.9900990099009901,0.00024030534824392644,5.298793967232128e-05,,cr3bp
743,935845691,2.0,1.0,0.0,estimate_tracking,0.0012391886668237048,0.0021052322843783085,0.000911526216235443,0.0008660436175546037,0.6988795497738465,0.000488461278379322,7.921425752806274e-11,0.0008969459411886236,0.00010669562029150832,2.7808510324020376e-09,1.9802545038996353,15.799124770004962,0.9900990099009901,0.00020388816563815594,0.00019379878290530866,,cr3bp
744,2112716845,2.0,1.0,0.0,estimate_tracking,0.0010843734015512738,0.001490734911537506,0.0006527422956911138,0.0004063615099862321,0.37474315526819724,0.0009593721028890525,5.332596290896047e-11,0.0002127160066492337,6.432302592674411e-05,6.583641131835789e-09,2.196963231874055,29.7368088956096,0.9900990099009901,0.00013737512477104876,0.00017098932416329942,,cr3bp
745,829147814,2.0,1.0,0.0,estimate_tracking,0.0022045307858961426,0.0018067340417153531,0.0005064473735732289,-0.00039779674418078943,-0.18044508460746445,0.0011324998096780181,8.865134439574576e-11,0.00018800132257038192,3.0032760017895315e-05,4.1978875135789865e-09,1.841843160553816,4.430278749519491,0.9900990099009901,0.0002262473154126707,8.853486769839702e-05,,cr3bp
746,1058844757,2.0,1.0,0.0,estimate_tracking,0.000955392232428078,0.0010451444827665741,9.127313857380597e-05,8.975225033849615e-05,0.09394283027651973,0.000467299076326256,6.42953991628395e-11,3.681466796993183e-05,4.423235049582484e-05,2.028268699363355e-09,2.182732068377884,5.274976249376387,0.9900990099009901,7.327670652306846e-05,0.00020753942913685343,,cr3bp
